Sample,GH,1_Z,1_Eg,1_Ip1,1_Ip2,1_Ea,1_Homo,1_Lumo,1_Ros,1_Rop,1_Rod,1_Ra,1_Rv,1_Rc,1_Vl,1_Pc,1_Pc18,1_Pr,1_Uo,1_Plz,1_M,1_Mel,1_Boi,1_de,2_Z,2_Eg,2_Ip1,2_Ip2,2_Ea,2_Homo,2_Lumo,2_Ros,2_Rop,2_Rod,2_Ra,2_Rv,2_Rc,2_Vl,2_Pc,2_Pc18,2_Pr,2_Uo,2_Plz,2_M,2_Mel,2_Boi,2_de,3_Z,3_Eg,3_Ip1,3_Ip2,3_Ea,3_Homo,3_Lumo,3_Ros,3_Rop,3_Rod,3_Ra,3_Rv,3_Rc,3_Vl,3_Pc,3_Pc18,3_Pr,3_Uo,3_Plz,3_M,3_Mel,3_Boi,3_de
Fe_Ge_As,0.71804792,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Fe_Ge_P,0.29680433,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Fe_Sn_P,0.14739983,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Hf_C_As,1.58033381,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Hf_C_P,1.10841477,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Hf_Ge_As,0.56608677,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Hf_Si_P,0.23102379,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,14.0,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4.0,4.0,14.0,3.0,4.0,37.31,28.085,1687.0,3538.0,2.329,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Mn_Ge_As,0.72394396,25.0,1.55,717.3,1509.0,-1.019,-4.4043,1.8306,1.3699,1.2646,0.4082,1.39,0.4082,1.39,7.0,7.0,7.0,4.0,5.0,65.0,54.938045,1519.0,2334.0,7.21,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Nb_C_As,1.53478009,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Nb_C_P,1.06070926,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
